0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:24:02 -0200] "GET /Economy/ServletRelatory?dateStart=01%2F10%2F2015&dateEnd=05%2F12%2F2015&category=1 HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:24:02 -0200] "GET /Economy/getTotal HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:24:11 -0200] "GET /Economy/ServletDetailedGraphic?dateStart=01/10/2015&dateEnd=05/12/2015&subcategory=combustivel HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:24:14 -0200] "GET /Economy/ServletRelatory?dateStart=01%2F10%2F2015&dateEnd=05%2F12%2F2015&category=1 HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:24:14 -0200] "GET /Economy/getTotal HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:24:19 -0200] "GET /Economy/ServletDetailedGraphic?dateStart=01/10/2015&dateEnd=05/12/2015&subcategory=taxi HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:24:24 -0200] "GET /Economy/ServletRelatory?dateStart=01%2F10%2F2015&dateEnd=05%2F12%2F2015&category=1 HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:24:24 -0200] "GET /Economy/getTotal HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:24:25 -0200] "GET /Economy/ServletDetailedGraphic?dateStart=01/10/2015&dateEnd=05/12/2015&subcategory=combustivel HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:24:31 -0200] "GET /Economy/ServletRelatory?dateStart=01%2F10%2F2015&dateEnd=05%2F12%2F2015&category=1 HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:24:31 -0200] "GET /Economy/getTotal HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:24:35 -0200] "GET /Economy/html/lancamento.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:24:35 -0200] "GET /Economy/javascript/novoLancamento.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:24:35 -0200] "GET /Economy/ServletCategory HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:24:35 -0200] "GET /Economy/getSubcategories?select=1 HTTP/1.1" 200 130
